Date,Time,Latitude,Longitude,Max Winds (kt),SS  HWS,RMW nm,Central Pressure (mb),States Affected,Storm Names,States Affected Names,States Affected Names_1,States Affected Names_2,States Affected Names_3,States Affected Names_4,States Affected Names_5,SS HWS max,Central Pressure (mb) min
8/27/1945,1200Z,28.2N,96.7W,100,3,10,963,"BTX3,ATX1,CTX1",NULL,Texas,NULL,NULL,NULL,NULL,NULL,4,927
9/15/1945,1930Z,25.3N,80.3W,115,4,10,949,"CFL4,BFL2,DFL1",NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
10/8/1946,0200Z,27.5N,82.6W,75,1,35,980,"BFL1,AFL1",NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
8/24/1947,2200Z,29.2N,94.9W,70,1,NULL,984,CTX1,NULL,Texas,NULL,NULL,NULL,NULL,NULL,4,927
9/16/1947,1630Z,26.1N,80.1W,115,4,15,943,"CFL4,BFL2",NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
10/12/1947,0200Z,25.4N,81.2W,80,1,NULL,975,"BFL1,CFL1",NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
9/4/1948,0700Z,29.1N,90.5W,70,1,NULL,983,LA1,NULL,Louisiana,NULL,NULL,NULL,NULL,NULL,4,927
9/21/1948,1700Z,24.6N,81.6W,105,3,10,955,"BFL4,CFL2",NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
10/5/1948,1800Z,24.7N,81.2W,90,2,15,963,"BFL2,CFL2",NULL,Florida,NULL,NULL,NULL,NULL,NULL,4,927
8/24/1949,1200Z,34.3N,76.1W,70,1,25,977,NC1,NULL,North Carolina,NULL,NULL,NULL,NULL,NULL,4,927
10/4/1949,0500Z,28.8N,95.6W,95,2,15,965,"CTX2,BTX1",NULL,Texas,NULL,NULL,NULL,NULL,NULL,4,927
8/31/1950,0300Z,30.2N,88.0W,75,1,20,979,"AL1, AFL1",Baker,Alabama, Florida,NULL,NULL,NULL,NULL,1,979
